tariff_id,date,year,month,imposing_country,target_country,policy_name,tariff_rate_pct,estimated_value_usd_bn,description,is_trump_1_0,is_biden,is_trump_2_0,is_retaliation,is_section_232,is_section_301,is_ieepa
T033,2025-02-01,2025,2,US,China,IEEPA_10pct_fentanyl,10.0,0.0,10% blanket on China (fentanyl),0,0,1,0,0,0,1
T034,2025-02-03,2025,2,US,Mexico,Pause_30_days,0.0,0.0,30-day suspension,0,0,1,0,0,0,0
T035,2025-02-03,2025,2,US,Canada,Pause_30_days,0.0,0.0,30-day suspension,0,0,1,0,0,0,0
T036,2025-02-04,2025,2,China,US,Retaliation_Trump2_round1,15.0,0.0,"15% LNG/coal, 10% crude/agri",0,0,1,1,0,0,0
T037,2025-03-04,2025,3,US,Mexico,Tariffs_implemented,25.0,0.0,25% IEEPA tariffs effective,0,0,1,0,0,0,0
T038,2025-03-04,2025,3,US,Canada,Tariffs_implemented,25.0,0.0,25% IEEPA tariffs effective,0,0,1,0,0,0,0
T039,2025-03-04,2025,3,US,China,IEEPA_doubled_20pct,20.0,0.0,Doubled from 10% to 20%,0,0,1,0,0,0,1
T040,2025-03-04,2025,3,China,US,Retaliation_Trump2_round2,15.0,0.0,15% on US agri products,0,0,1,1,0,0,0
T041,2025-03-06,2025,3,US,Mexico,USMCA_exemption_pause,0.0,0.0,USMCA-compliant goods exempted,0,0,1,0,0,0,0
T042,2025-03-12,2025,3,US,Global,Section_232_steel_alum_re,25.0,0.0,"Steel/aluminum 25%, no exemptions",0,0,1,0,1,0,0
T048,2025-04-02,2025,4,US,Cambodia,Reciprocal_49pct,49.0,0.0,49% reciprocal on Cambodia (highest),0,0,1,0,0,0,0
T047,2025-04-02,2025,4,US,Vietnam,Reciprocal_46pct,46.0,0.0,46% reciprocal on Vietnam,0,0,1,0,0,0,0
T046,2025-04-02,2025,4,US,Japan,Reciprocal_24pct,24.0,0.0,24% reciprocal on Japan,0,0,1,0,0,0,0
T045,2025-04-02,2025,4,US,EU,Reciprocal_20pct,20.0,0.0,20% reciprocal on EU,0,0,1,0,0,0,0
T044,2025-04-02,2025,4,US,China,Reciprocal_34pct,34.0,0.0,34% reciprocal on China,0,0,1,0,0,0,0
T043,2025-04-02,2025,4,US,Global,Liberation_Day_10pct,10.0,0.0,10% universal baseline tariff,0,0,1,0,0,0,0
T049,2025-04-04,2025,4,China,US,Retaliation_34pct,34.0,0.0,Matching 34% retaliation,0,0,1,1,0,0,0
T050,2025-04-08,2025,4,US,China,Hike_to_104pct,104.0,0.0,Cumulative China tariff to 104%,0,0,1,1,0,0,0
T051,2025-04-09,2025,4,US,China,Hike_to_125pct,125.0,0.0,Hiked further to 125%,0,0,1,1,0,0,0
T052,2025-04-09,2025,4,US,Global,Reciprocal_pause_90_days,0.0,0.0,All except China paused 90 days,0,0,1,0,0,0,0
T053,2025-04-10,2025,4,China,US,Hike_to_125pct,125.0,0.0,Matching 125% retaliation,0,0,1,1,0,0,0
T054,2025-04-11,2025,4,US,China,Cumulative_145pct,145.0,0.0,Cumulative effective 145%,0,0,1,0,0,0,0
T055,2025-04-12,2025,4,US,China,Electronics_exempted,0.0,0.0,"Smartphones, laptops exempted",0,0,1,0,0,0,0
T056,2025-05-12,2025,5,US,China,Geneva_truce_30pct,30.0,0.0,Reduced to 30% for 90 days,0,0,1,0,0,0,0
T057,2025-05-12,2025,5,China,US,Geneva_truce_10pct,10.0,0.0,Reduced to 10% for 90 days,0,0,1,0,0,0,0
T058,2025-07-09,2025,7,US,Global,Tariff_letters_14_countries,0.0,0.0,Letters threatening Aug 1 tariffs,0,0,1,0,0,0,0
T059,2025-08-01,2025,8,US,Various,Reciprocal_country_specific,0.0,0.0,Country-specific 15-50% tariffs,0,0,1,0,0,0,0
T060,2025-08-01,2025,8,US,Brazil,Brazil_50pct,50.0,0.0,50% on Brazil,0,0,1,0,0,0,0
T061,2025-08-01,2025,8,US,India,India_25pct,25.0,0.0,25% on India,0,0,1,0,0,0,0
T062,2025-08-01,2025,8,US,Switzerland,Swiss_39pct,39.0,0.0,39% on Switzerland,0,0,1,0,0,0,0
T063,2025-08-12,2025,8,US,China,Geneva_extended_90_days,30.0,0.0,Truce extended through Nov 2025,0,0,1,0,0,0,0
T064,2025-10-30,2025,10,US,China,APEC_Trump_Xi_deal,20.0,0.0,"1-year freeze, fentanyl agreement",0,0,1,0,0,0,0
T065,2025-11-10,2025,11,US,China,Tariffs_lowered_post_APEC,20.0,0.0,Reduced to 20% effective,0,0,1,0,0,0,0
T066,2025-12-15,2025,12,US,Mexico,Tariffs_paused_USMCA,0.0,0.0,Most USMCA goods exempted ongoing,0,0,1,0,0,0,0
T067,2026-01-15,2026,1,US,Global,Section_232_minerals,25.0,0.0,Critical minerals tariffs,0,0,1,0,1,0,0
T068,2026-02-15,2026,2,US,Global,Section_232_lumber,15.0,0.0,Lumber sector tariffs,0,0,1,0,1,0,0
T069,2026-03-20,2026,3,EU,US,Tech_services_retaliation,20.0,0.0,EU retaliation on US tech,0,0,1,0,0,0,0
T070,2026-04-15,2026,4,US,Global,Section_232_semis,25.0,0.0,Semiconductor tariffs 25-50%,0,0,1,0,1,0,0
T071,2026-04-30,2026,4,China,Global,Rare_earth_controls,0.0,0.0,Heavy REE export licensing,0,0,1,0,0,0,0
